image_id,composite_caption,composite_rank,coco_caption_1,coco_caption_2,coco_caption_3,coco_caption_4,coco_caption_5,original_caption,original_rank,hallucination,halluc_caption_1,halluc_caption_2,halluc_caption_3,halluc_clipscore_1,halluc_clipscore_2,halluc_clipscore_3,halluc_rank_1,halluc_rank_2,halluc_rank_3
000000572260.jpg,"A wooden shelf is filled with stuffed teddy bears and treats, alongside several other shelves that are packed with many various items. There is a bookshelf full of books and knickknacks, as well as another bookshelf also containing books and teddy bears. Additionally, a shelf displays trinkets and a pile of DVDs, contributing to the eclectic collection of objects.",1,A wooden shelf filled with stuffed teddy bears and treats.,Some shelves that are packed with many various items.,A book shelf full of books and nick nacks .,A BOOKSHELF FULL OF BOOKS AND TEDDY BEARS.,A shelf shows trinkets and a pile of dvds.,A BOOKSHELF FULL OF BOOKS AND TEDDY BEARS.,2,1,,,,,,,,,
000000537604.jpg,"A small dog is standing behind a table covered in various party items, including dog-themed plates, snacks, and a cake. The dog is wearing a birthday hat and is celebrating its birthday, positioned in front of the cake atop the table. The overall scene depicts a festive birthday party atmosphere centered around the dog.",1,A dog at a table wearing a birthday hat. ,Dog standing behind a table covered in party items and a cake.,A dog celebrating its birthday with a cake. ,A small dog standing in front of a table topped with cake.,"A dog is at a birthday party that has dog themed plates, hats, snacks and cake.","A dog is at a birthday party that has dog themed plates, hats, snacks and cake.",1,0,"A small cat is standing behind a table covered in various party items, including dog-themed plates, snacks, and a cake. The cat is wearing a birthday hat and is celebrating its birthday, positioned in front of the cake atop the table. The overall scene depicts a festive birthday party atmosphere centered around the cat.","A large cat is standing behind a table covered in various party items, including cat-themed plates, snacks, and a cake. The cat is wearing a birthday hat and is celebrating its birthday, positioned in front of the cake atop the table. The overall scene depicts a festive birthday party atmosphere centered around the cat.","A small dog is sitting in a garden surrounded by various party items, including cat-themed plates, snacks, and a cake. The dog is wearing a birthday hat and is celebrating its birthday, positioned in front of the cake atop the table. The overall scene depicts a festive birthday party atmosphere centered around the dog.",0.9521484375,0.888671875,0.9501953125,1.0,1.0,1.0
000000078213.jpg,"A man in a wet suit is riding a surfboard on an ocean wave, showcasing his skills as he navigates the water.",21,A man riding a wave on top of a surfboard.,There is a man surfing on a wave.,A man on a surfboard riding an ocean wave.,A man riding a surfboard in a wet suit in the ocean.,A man in a wet suit riding a surfboard on a wave.,A man riding a wave on top of a surfboard.,3,0,"A man in a wet suit is riding a surfboard on a mountain slope, showcasing his skills as he navigates the snow.","A man in a wet suit is riding a surfboard on a river wave, showcasing his skills as he navigates the water.","A man in a wet suit is riding a surfboard on a mountain slope, showcasing his skills as he navigates the terrain.",0.7216796875,0.78173828125,0.76171875,38.0,11.0,26.0
000000429679.jpg,"A wooden plate topped with a feast of sliced meats, including a pork roast, accompanied by potatoes and a variety of vegetables. The dish features an assortment of meats, potatoes, and greens, all presented together on the wooden plate, showcasing a diverse selection of food items.",14,"A feast of meat, potatos, and veggies on a plate",A wooden plate topped with sliced meat and vegetables.,A PLATE OF MEATS AND POTATOES AND VEGETABLES ,A pork roast with greens and potato side dish,A wooden plate with different types of food on it.,A pork roast with greens and potato side dish,10,1,,,,,,,,,
000000322297.jpg,"The beach is busy with numerous beachgoers lounging on the sand, utilizing chairs and colorful umbrellas that provide shade from the sun. Rainbow umbrellas are prominently planted in the sand, offering a vibrant backdrop as people sit beneath them, enjoying their time on the beach while being shielded from the sun's rays.",3,A busy beach with rainbow umbrellas planted in the sand,People sitting on the beach with umbrellas blocking out the sun.,People are on the beach with chairs and colorful umbrellas.,Colorful umbrellas are covering people on the beach.,Beach goers lounging on sand under colorful sun umbrellas.,Beach goers lounging on sand under colorful sun umbrellas.,1,0,"The beach is quiet with only a few beachgoers standing on the wet sand, utilizing chairs and colorful umbrellas that provide shade from the moonlight. Rainbow umbrellas are prominently planted in the sand, offering a vibrant backdrop as people stand beneath them, enjoying their time on the beach while being shielded from the moon's light.","The beach is deserted with only a few beachgoers lounging on the sand, utilizing chairs and colorful umbrellas that provide shade from the sun. Rainbow umbrellas are prominently planted in the sand, offering a vibrant backdrop as people sit beneath them, enjoying their time on the beach while being shielded from the sun's rays.","The beach is quiet with only a few beachgoers lounging on the sand, utilizing chairs and colorful umbrellas that provide shade from the rain. Rainbow umbrellas are prominently planted in the sand, offering a vibrant backdrop as people sit beneath them, enjoying their time on the beach while being shielded from the rain's droplets.",0.79833984375,0.8935546875,0.87109375,9.0,3.0,4.0
000000476679.jpg,"A woman is walking down a crowded city sidewalk alone while talking on the phone. She is surrounded by several other people walking near buildings, as pedestrians navigate the sidewalk beside the tall structures. The scene captures a diverse group moving together along the street, contributing to the bustling atmosphere of the urban environment.",194,A woman is walking down the street alone and talking on the phone.,Several people walking on a sidewalk near buildings. ,Pedestrians are walking down the sidewalk beside a building. ,People walking on a crowded city sidewalk between tall buildings. ,A group of people walking down a street.,A group of people walking down a street.,579,0,"A woman is walking down a crowded city sidewalk with a group of friends while talking on the phone. She is surrounded by several other people walking near buildings, as pedestrians navigate the sidewalk beside the tall structures. The scene captures a diverse group moving together along the street, contributing to the bustling atmosphere of the urban environment.","A woman is walking down a deserted city sidewalk alone while talking on the phone. She is surrounded by several other people walking near open fields, as pedestrians navigate the sidewalk beside the tall structures. The scene captures a diverse group moving together along the street, contributing to the bustling atmosphere of the urban environment.","A woman is walking down a deserted city sidewalk alone while talking on the phone. She is surrounded by several other people walking near buildings, as pedestrians navigate the sidewalk beside the tall structures. The scene captures a diverse group moving together along the street, contributing to the bustling atmosphere of the urban environment.",0.6396484375,0.64013671875,0.63916015625,176.0,176.0,177.0
000000291541.jpg,"A striped cat is outstretched on a large, unmade bed, laying down on a down comforter. The cat is pawing at the air and rolling around on the sheets, occasionally laying upside down as it enjoys its time on the bed.",10,A cat is out stretched on a large bed.,A cat laying on a bed and pawing at the air. ,A cat rolling around on the sheets of an unmade bed.,a cat lays down on a bed ,"A striped cat laying upside down on a down comforter,","A striped cat laying upside down on a down comforter,",52,1,,,,,,,,,
000000507680.jpg,"On a counter or table, there is a collection of items that includes a pen, a notebook, a cell phone, a portable music player (iPod), a file, and a pill case. In addition to these, a knife is also present among the objects. This assortment reflects the contents of a woman's purse, showcasing various everyday essentials organized together.",1,"Pen, notebook, file, phone, and iPod sitting on a counter together. ","A cell phone, portable music player, pill case, nail file, notebook and pen.","A cell phone is sitting next to a pen, knife, and notebook.",The contents of a woman's purse on the table.,A cell phone and various other items are on a table.,The contents of a woman's purse on the table.,1,1,,,,,,,,,
000000242832.jpg,"A man is about to take a bite of a doughnut with icing on it, holding it in his right hand while his mouth is open, ready to enjoy it.",2,A man is about to take a bite of a doughnut.,A man that has his mouth open with a doughnut.,A man eating a donut with his right hand and open mouth.,A man is eating a donut with icing on it.,A man taking a bite of a doughnut with great pleasure.,A man is about to take a bite of a doughnut.,3,0,"A woman is about to take a bite of a doughnut with icing on it, holding it in her left hand while her mouth is open, ready to enjoy it.","A man is about to take a bite of a doughnut without icing on it, holding it in his left hand while his mouth is closed, ready to eat it.","A man is about to take a bite of a doughnut with sprinkles on it, holding it in his left hand while his mouth is open, ready to enjoy it.",0.77734375,0.87841796875,0.84521484375,8.0,2.0,4.0
000000298535.jpg,"On the kitchen counter, a bowl filled with cut-up vegetables including carrots and radishes is present alongside a bowl of coleslaw. Nearby, a white cutting board features radishes and a knife resting on its surface. Additional knives are positioned next to the vegetables, indicating that meal preparation is underway.",1,a bowl with cut up vegetables some carrots and radishes and knives,There is a white cutting board with radishes and a knife on it.,A bowl of coleslaw and radishes waiting to be sliced.,a knife laying on a cutting board next to some vegetables,The meal is being prepared on the counter. ,The meal is being prepared on the counter. ,8,0,"On the kitchen counter, a bowl filled with cut-up fruits including apples and oranges is present alongside a bowl of coleslaw. Nearby, a white cutting board features radishes and a knife resting on its surface. Additional knives are positioned next to the fruits, indicating that meal preparation is underway.","On the kitchen counter, a bowl filled with cut-up vegetables including carrots and cucumbers is present alongside a bowl of coleslaw. Nearby, a white cutting board features radishes and a knife resting on its surface. Additional knives are positioned next to the vegetables, indicating that meal preparation is underway.","On the kitchen counter, a bowl filled with cut-up vegetables including carrots and cucumbers is present alongside a bowl of coleslaw. Nearby, a white cutting board features radishes and a knife resting on its surface. Additional knives are positioned next to the vegetables, indicating that meal preparation is underway.",0.91357421875,0.96728515625,0.96728515625,3.0,1.0,1.0
